#BLU STATE
1 362
1 475 
1 489
1 635 
1 666
1 344
1 222
1 223
1 106
1 62
#BLUE ADD
1 165
1 340
1 539
1 610
1 79 
1 272
1 191
1 353
1 129
1 522
1 167
1 423
1 580
1 535
1 187 
1 393
1 645
1 284
1 137
1 110
1 257
1 484
1 468
1 59
1 231
1 163
1 499
1 191 
1 214
1 496
#BLU Connect 
1 678
1 671
1 401
1 356
1 285
1 81
#RED STATE
1 78
1 111
1 244
1 268
1 381
1 384 
1 510
1 526 
1 636
1 673
#RED ADD
1 160
1 346
1 400
1 595
1 479
1 578
1 470
1 277
1 188
1 211
1 549
1 638
1 130
1 258
1 603
1 552
1 506
1 337
1 240
1 201
1 481
1 518
1 520
1 620
#RED Connect
1 86 
1 78
1 60 
1 266
1 330
1 446
1 662
1 375
1 678
1 52
1 95 
1 681
